geometry
LINESTRING (144.964925 -37.81822, 144.964945 -37.818187)
LINESTRING (144.964945 -37.818187, 144.964991 -37.818114)
LINESTRING (144.964991 -37.818114, 144.965006 -37.81809)
LINESTRING (144.965006 -37.81809, 144.965041 -37.818037)
LINESTRING (144.964742 -37.818123, 144.964838 -37.818154)
LINESTRING (144.964209 -37.818539, 144.964192 -37.818498)
LINESTRING (144.964192 -37.818498, 144.964167 -37.818444)
LINESTRING (144.964167 -37.818444, 144.964156 -37.818414)
LINESTRING (144.964156 -37.818414, 144.96413 -37.818356)
LINESTRING (144.96413 -37.818356, 144.964112 -37.818313)
LINESTRING (144.965499 -37.819164, 144.965486 -37.819136)
LINESTRING (144.965486 -37.819136, 144.965542 -37.819117)
LINESTRING (144.965542 -37.819117, 144.965593 -37.819103)
LINESTRING (144.965593 -37.819103, 144.965664 -37.819091)
LINESTRING (144.965664 -37.819091, 144.965659 -37.819068)
LINESTRING (144.965659 -37.819068, 144.96554 -37.819086)
LINESTRING (144.96554 -37.819086, 144.96553 -37.819078)
LINESTRING (144.965625 -37.818435, 144.965285 -37.818537)
LINESTRING (144.965698 -37.818563, 144.965347 -37.818671)
LINESTRING (144.965763 -37.818709, 144.965411 -37.818802)
LINESTRING (144.965814 -37.818816, 144.965458 -37.818903)
LINESTRING (144.966663 -37.812159, 144.966668 -37.81217)
LINESTRING (144.965919 -37.813064, 144.965853 -37.812923)
LINESTRING (144.963176 -37.810968, 144.963134 -37.810877)
LINESTRING (144.963947 -37.81567, 144.963971 -37.815665)
LINESTRING (144.9639 -37.814159, 144.963914 -37.814196)
LINESTRING (144.963535 -37.814759, 144.963565 -37.814753)
LINESTRING (144.966488 -37.81887, 144.966604 -37.818847)
LINESTRING (144.966486 -37.818682, 144.966408 -37.818701)
LINESTRING (144.966408 -37.818701, 144.966328 -37.81872)
LINESTRING (144.966124 -37.81809, 144.966213 -37.818066)
LINESTRING (144.966488 -37.81887, 144.966408 -37.818701)
LINESTRING (144.966408 -37.818701, 144.966343 -37.818565)
LINESTRING (144.966343 -37.818565, 144.966266 -37.818402)
LINESTRING (144.966266 -37.818402, 144.966207 -37.818279)
LINESTRING (144.966207 -37.818279, 144.966124 -37.81809)
LINESTRING (144.966124 -37.81809, 144.966088 -37.818007)
LINESTRING (144.966088 -37.818007, 144.966009 -37.817797)
LINESTRING (144.960437 -37.816692, 144.960489 -37.816808)
LINESTRING (144.960489 -37.816808, 144.96062 -37.817104)
LINESTRING (144.96062 -37.817104, 144.960637 -37.817147)
LINESTRING (144.965867 -37.817838, 144.965854 -37.81781)
LINESTRING (144.948478 -37.820765, 144.94857 -37.820737)
LINESTRING (144.948453 -37.820594, 144.948452 -37.820586)
LINESTRING (144.948452 -37.820586, 144.948482 -37.820578)
LINESTRING (144.948482 -37.820578, 144.94857 -37.820553)
LINESTRING (144.94857 -37.820553, 144.948676 -37.820523)
LINESTRING (144.948676 -37.820523, 144.948742 -37.820503)
LINESTRING (144.948742 -37.820503, 144.948795 -37.820571)
LINESTRING (144.948795 -37.820571, 144.948822 -37.820606)
LINESTRING (144.948822 -37.820606, 144.948841 -37.820635)
LINESTRING (144.948841 -37.820635, 144.948878 -37.82068)
LINESTRING (144.948878 -37.82068, 144.9489 -37.820709)
LINESTRING (144.9489 -37.820709, 144.948892 -37.820725)
LINESTRING (144.948892 -37.820725, 144.948827 -37.820744)
LINESTRING (144.948827 -37.820744, 144.948721 -37.820775)
LINESTRING (144.948721 -37.820775, 144.948654 -37.820792)
LINESTRING (144.948654 -37.820792, 144.948625 -37.820802)
LINESTRING (144.948625 -37.820802, 144.948588 -37.820761)
LINESTRING (144.948588 -37.820761, 144.94857 -37.820737)
LINESTRING (144.94857 -37.820737, 144.948552 -37.820718)
LINESTRING (144.948552 -37.820718, 144.948532 -37.820689)
LINESTRING (144.948532 -37.820689, 144.9485 -37.820652)
LINESTRING (144.9485 -37.820652, 144.948453 -37.820594)
LINESTRING (144.948625 -37.820802, 144.948745 -37.820954)
LINESTRING (144.948745 -37.820954, 144.949072 -37.821371)
LINESTRING (144.949072 -37.821371, 144.949682 -37.822134)
LINESTRING (144.949682 -37.822134, 144.949758 -37.822233)
LINESTRING (144.949758 -37.822233, 144.94978 -37.822262)
LINESTRING (144.94978 -37.822262, 144.94981 -37.822298)
LINESTRING (144.952626 -37.819407, 144.952646 -37.819447)
LINESTRING (144.952646 -37.819447, 144.952658 -37.819472)
LINESTRING (144.952658 -37.819472, 144.952669 -37.819495)
LINESTRING (144.952669 -37.819495, 144.952683 -37.819522)
LINESTRING (144.952683 -37.819522, 144.952695 -37.81955)
LINESTRING (144.952695 -37.81955, 144.952706 -37.819574)
LINESTRING (144.952706 -37.819574, 144.952725 -37.819611)
LINESTRING (144.952695 -37.81955, 144.952647 -37.819564)
LINESTRING (144.952658 -37.819472, 144.952609 -37.819486)
LINESTRING (144.952114 -37.819623, 144.952042 -37.819644)
LINESTRING (144.952151 -37.8197, 144.952082 -37.819719)
LINESTRING (144.952082 -37.819719, 144.952055 -37.819727)
LINESTRING (144.952055 -37.819727, 144.952043 -37.819701)
LINESTRING (144.952043 -37.819701, 144.952029 -37.819673)
LINESTRING (144.952029 -37.819673, 144.952018 -37.819651)
LINESTRING (144.952018 -37.819651, 144.952042 -37.819644)
LINESTRING (144.952042 -37.819644, 144.952031 -37.819618)
LINESTRING (144.952031 -37.819618, 144.952009 -37.819575)
LINESTRING (144.950629 -37.820217, 144.95061 -37.820176)
LINESTRING (144.95061 -37.820176, 144.950596 -37.820149)
LINESTRING (144.950596 -37.820149, 144.950626 -37.82014)
LINESTRING (144.950626 -37.82014, 144.950614 -37.820116)
LINESTRING (144.950614 -37.820116, 144.950601 -37.820088)
LINESTRING (144.950601 -37.820088, 144.95059 -37.820063)
LINESTRING (144.95059 -37.820063, 144.950561 -37.820072)
LINESTRING (144.950561 -37.820072, 144.95055 -37.820047)
LINESTRING (144.95055 -37.820047, 144.950532 -37.820009)
LINESTRING (144.949545 -37.820284, 144.949991 -37.82016)
LINESTRING (144.949991 -37.82016, 144.95002 -37.820152)
LINESTRING (144.95002 -37.820152, 144.950241 -37.82009)
LINESTRING (144.950241 -37.82009, 144.950532 -37.820009)
LINESTRING (144.950532 -37.820009, 144.950799 -37.81993)
LINESTRING (144.950799 -37.81993, 144.951475 -37.819732)
LINESTRING (144.951475 -37.819732, 144.952009 -37.819575)
LINESTRING (144.952009 -37.819575, 144.952626 -37.819407)
LINESTRING (144.952725 -37.819611, 144.952115 -37.819784)
LINESTRING (144.952115 -37.819784, 144.950629 -37.820217)
LINESTRING (144.950629 -37.820217, 144.950426 -37.820274)
